name,latitude,longitude
B마트 은평,37.6024768,126.9258304
B마트 수원,37.26618444,127.0321357
B마트 마포공덕,37.5421787,126.9478578
B마트 용산한남,37.53454145,126.9899098
B마트 분당,37.3769512,127.1334012
B마트 일산,37.66927171,126.7622323
B마트 부천,37.49773652,126.7853184
B마트 강남양재,37.487726,127.049666
B마트 강남논현,37.50996181,127.0367673
B마트 인천부평,37.5194272,126.7153241
B마트 강서가양,37.56003567,126.8326178
B마트 광진자양,37.54676361,127.0652915
B마트 도봉쌍문,37.64302969,127.0371524
B마트 강동천호,37.54537629,127.1432844
B마트 중랑면목,37.58959249,127.0942043
B마트 강서화곡,37.52853952,126.8427011
B마트 금천독산,37.47246368,126.8976977
B마트 구로신도림,37.49407221,126.8938086
B마트 영등포신길,37.51606976,126.8997796
B마트 관악신림,37.4822131,126.928889
B마트 서대문신촌,37.56728658,126.9305809
B마트 송파잠실,37.50490812,127.1078721
B마트 안산,37.31520282,126.8231256
B마트 평택,36.99785,127.1147
B마트 김포,37.64557858,126.6812404
B마트 인천청라,37.53389661,126.6513573
B마트 서초내방,37.48862999,126.9828562
B마트 수원권선,37.27412653,126.9514206
B마트 대전중구,36.34729728,127.4297086
B마트 마포홍대,37.54851086,126.9233877
B마트 성동옥수,37.55820619,127.0354605
B마트 송파문정,37.4804668,127.1236214
B마트 오산,37.14661568,127.0732464
B마트 서초반포,37.50118458,127.0104366
B마트 인천남부,37.45843384,126.6898282
B마트 강남압구정,37.52401559,127.0287121
B마트 송파신천,37.50849066,127.0868184
B마트 노원중계,37.63994738,127.0738158
B마트 동작상도,37.51115448,126.9451367
B마트 동대문제기,37.57784282,127.0369043
B마트 대전유성,36.3695709,127.3389661
B마트 서초교대,37.48657523,127.0140201
B마트 의정부,37.75035116,127.071674
B마트 중구명동,37.56937067,126.9859925
B마트 용인,37.31579057,127.0746027
B마트 시흥,37.36736172,126.7260218
B마트 안양,37.39058518,126.9475566
B마트 동탄,37.20288692,127.0716061
B마트 성남,37.4489153,127.145287
B마트 천안,36.831624,127.145702
B마트 대구달서,35.83682004,128.5478733
B마트 부산진구,35.15851699,129.0620415
B마트 인천연수,37.41207751,126.655527
B마트 파주,37.71040576,126.7598147
B마트 하남,37.55370942,127.1857525
B마트 청주상당,36.64447165,127.4890049
B마트 군포,37.36056058,126.9304201
B마트 청주흥덕,36.62598767,127.4351727
B마트 구리,37.61262969,127.1528557
B마트 대구북구,35.89534247,128.6173378
B마트 대구수성,35.84132092,128.6236166
B마트 대구중구,35.87462219,128.5952848
B마트 울산남구,35.54592287,129.32498
B마트 부산해운대,35.162805,129.169674
B마트 부산사하,35.10093882,128.9924935
B마트 부산동래,35.213993,129.079598
B마트 김해,35.242155,128.86856
B마트 강북미아,37.612068,127.030755
B마트 창원,35.230405,128.68091
B마트 원주,37.326246,127.955842
B마트 인천용현,37.453918,126.633682
B마트 대전서구,36.333773,127.381986
분당후보1,37.36212399,127.1144684
분당후보2,37.38726483,127.1212592
